#{"t_start": 1745836911.2286165, "env_id": "None"}
r,l,t
-323.834978,24,43.33108
-379.720891,24,43.361937
-392.67605,24,43.391081
-502.45056,24,43.423211
-292.1508,24,43.448883
-669.9024,24,43.479083
-715.46112,24,43.519586
-512.07696,24,43.552073
-518.27184,24,43.588538
-885.65328,24,43.620505
-342.6156,24,43.648233
-406.188,24,43.675465
-588.19248,24,43.703439
-491.89024,24,43.731687
-392.840542,24,43.756318
-699.59232,24,43.79005
103.2192,24,43.847103
-36.240538,24,43.878871
33.13762,24,43.920755
79.323118,24,43.955441
34.342003,24,43.98744
45.429287,24,44.017857
56.057876,24,44.046691
66.949133,24,44.082374
31.655335,24,44.125074
55.160232,24,44.223785
-16.7256,24,44.296791
74.338422,24,44.363659
72.0,24,44.43539
-61.401786,24,44.500305
24.568023,24,44.561573
42.208413,24,44.610434
62.961247,24,44.656176
57.412118,24,44.692761
87.6096,24,44.728358
38.024921,24,44.762713
38.8368,24,44.847446
6.380078,24,44.894734
-79.900118,24,44.942775
40.5216,24,44.989974
41.2416,24,45.032604
41.8752,24,45.076128
-186.9154,24,45.13115
0.597207,24,45.184526
50.129943,24,45.236632
63.6192,24,45.295175
-862.4016,24,45.369147
53.208,24,45.404476
-402.065416,24,45.440773
-448.670805,24,45.475853
19.933926,24,45.511043
10.08,24,45.547221
50.6736,24,45.576999
56.1024,24,45.605762
44.9856,24,45.635792
41.976,24,45.667108
-74.366106,24,45.72604
-113.236468,24,45.753502
-54.645928,24,45.775834
-120.012476,24,45.798968
-68.252569,24,45.824245
-115.587394,24,45.846664
-56.418472,24,45.878205
-74.17513,24,45.918458
-45.710695,24,45.953653
-76.167286,24,45.978101
-57.364509,24,46.003428
-59.2037,24,46.024821
-76.416337,24,46.0459
-60.125091,24,46.078901
-84.265946,24,46.10876
-55.087074,24,46.137968
-67.753665,24,46.167865
-79.71599,24,46.196172
-74.86127,24,46.227582
-110.447559,24,46.253507
36.648,24,46.324637
-181.649205,24,46.351408
43.4448,24,46.382588
53.8128,24,46.413865
-443.297784,24,46.438324
-141.665452,24,46.469626
21.6,24,46.497944
4.68,24,46.523616
14.579832,24,46.550496
-739.4178,24,46.579167
41.904,24,46.60782
49.392,24,46.636226
-45.244841,24,46.660194
48.4272,24,46.683437
43.6032,24,46.711074
-251.073622,24,46.743163
-663.999128,24,46.7677
25.516812,24,46.789994
-464.369478,24,46.81168
47.5344,24,46.841402
45.4176,24,46.91033
44.8992,24,46.944519
10.08,24,46.973364
10.08,24,46.998199
51.552,24,47.023726
53.8416,24,47.051062
51.7536,24,47.08143
51.0768,24,47.105416
47.1024,24,47.133423
36.4896,24,47.155424
69.1344,24,47.178653
56.16,24,47.20568
38.6352,24,47.228746
45.2736,24,47.251506
41.7312,24,47.274249
87.4512,24,47.299911
57.1104,24,47.319103
53.3232,24,47.34248
38.4624,24,47.371561
38.3184,24,47.393517
-141.688404,24,47.456254
-66.17941,24,47.485596
-42.692176,24,47.527178
-56.561667,24,47.579184
-59.415768,24,47.629187
-82.961358,24,47.659787
-55.078878,24,47.678791
-54.323076,24,47.708794
-65.804453,24,47.738479
-81.512654,24,47.77571
-73.171433,24,47.807387
-71.329088,24,47.828876
