time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/critic_loss
568,13632,-167.24489687999997,29,24.0,464,13531,2624.828125,0.0003,-15.869562149047852,44.096126556396484,288778.5625
572,13728,-170.1111307,29,24.0,467,13627,2666.60498046875,0.0003,-16.467628479003906,45.3791618347168,164320.484375
576,13824,-169.80924754000003,29,24.0,471,13723,2706.3818359375,0.0003,-15.192047119140625,46.671688079833984,215777.375
580,13920,-172.04851889000003,29,24.0,474,13819,2816.245361328125,0.0003,-16.509408950805664,48.004417419433594,223247.53125
584,14016,-172.30775569000002,29,24.0,477,13915,2840.46875,0.0003,-15.50377082824707,49.37724304199219,328857.125
588,14112,-173.85862283999995,29,24.0,480,14011,2939.293212890625,0.0003,-12.692916870117188,50.78364562988281,373309.5
592,14208,-172.54096550999998,29,24.0,483,14107,3052.9755859375,0.0003,-15.308597564697266,52.23886489868164,373864.6875
596,14304,-169.76996552000003,29,24.0,486,14203,3107.578369140625,0.0003,-16.598987579345703,53.73550033569336,355573.5
600,14400,-170.36672598,29,24.0,489,14299,3189.908447265625,0.0003,-15.548754692077637,55.291542053222656,296361.75
604,14496,-171.81952942000004,29,24.0,492,14395,3378.82275390625,0.0003,-17.536754608154297,56.8919792175293,255038.765625
608,14592,-168.32131235,29,24.0,495,14491,3412.203369140625,0.0003,-17.83853530883789,58.53645324707031,347189.25
612,14688,-179.35184180000005,29,24.0,498,14587,3439.70263671875,0.0003,-13.816792488098145,60.225990295410156,439437.5
616,14784,-178.49724863000003,29,24.0,501,14683,3623.862548828125,0.0003,-17.750965118408203,61.94754409790039,681671.5
620,14880,-180.89034355999996,29,24.0,504,14779,3638.3818359375,0.0003,-14.97098159790039,63.72772216796875,459105.4375
624,14976,-180.00191357000003,29,24.0,507,14875,3723.80126953125,0.0003,-16.847501754760742,65.59346008300781,391142.84375
628,15072,-182.31898404,29,24.0,510,14971,3812.839599609375,0.0003,-18.22176742553711,67.48745727539062,837900.25
632,15168,-179.7252477,29,24.0,513,15067,3967.505859375,0.0003,-15.90480899810791,69.45262908935547,446552.5
636,15264,-188.54901993000004,29,24.0,516,15163,4016.14013671875,0.0003,-16.201881408691406,71.48184204101562,821811.3125
640,15360,-188.51124573999996,29,24.0,519,15259,4209.486328125,0.0003,-18.180599212646484,73.5368881225586,441286.15625
644,15456,-186.40248217999996,29,24.0,522,15355,4259.61865234375,0.0003,-16.190343856811523,75.6673583984375,688448.8125
648,15552,-181.29943410999996,29,24.0,525,15451,4366.8642578125,0.0003,-15.739934921264648,77.85531616210938,823261.5
652,15648,-183.18788877999998,29,24.0,528,15547,4548.2646484375,0.0003,-18.25233268737793,80.13668823242188,506613.03125
656,15744,-186.92797687,29,24.0,531,15643,4598.4482421875,0.0003,-16.396085739135742,82.46005249023438,767287.125
660,15840,-185.99502681,29,24.0,534,15739,4713.837890625,0.0003,-16.369646072387695,84.87250518798828,708865.625
664,15936,-183.92089753000005,29,24.0,537,15835,4822.53955078125,0.0003,-16.494495391845703,87.34349822998047,1127404.75
668,16032,-188.04846562,29,24.0,540,15931,4950.9326171875,0.0003,-17.180309295654297,89.89595031738281,645408.0625
672,16128,-192.71873794999993,29,24.0,543,16027,5188.6298828125,0.0003,-18.68634033203125,92.50499725341797,1036304.5
676,16224,-190.31881933999998,29,24.0,547,16123,5312.419921875,0.0003,-16.60821533203125,95.19298553466797,865781.0
680,16320,-190.51807223000003,29,24.0,550,16219,5365.77587890625,0.0003,-18.265390396118164,97.94670867919922,1196788.5
684,16416,-198.21068419000002,29,24.0,553,16315,5487.6953125,0.0003,-16.89483642578125,100.82074737548828,964769.875
688,16512,-197.44182204999998,29,24.0,556,16411,5717.9248046875,0.0003,-18.805095672607422,103.71278381347656,843035.625
692,16608,-200.34245118,29,24.0,559,16507,5882.54638671875,0.0003,-16.81416130065918,106.67449951171875,1305898.0
696,16704,-205.99994629000005,29,24.0,562,16603,6046.26025390625,0.0003,-19.56243896484375,109.75653839111328,1620769.0
700,16800,-207.05355226,29,24.0,565,16699,6165.1826171875,0.0003,-18.062061309814453,112.95308685302734,1419171.5
704,16896,-206.90507748,29,24.0,568,16795,6362.4970703125,0.0003,-17.76297378540039,116.2358627319336,1255537.25
708,16992,-204.71640451000002,29,24.0,571,16891,6529.2001953125,0.0003,-16.708621978759766,119.6002426147461,902823.875
712,17088,-196.15325556000005,29,24.0,574,16987,6672.07861328125,0.0003,-18.816984176635742,123.11559295654297,1681001.25
716,17184,-199.14965536000003,29,24.0,577,17083,6872.58642578125,0.0003,-19.265926361083984,126.71420288085938,2242654.5
720,17280,-196.04987229999998,29,24.0,580,17179,7105.3935546875,0.0003,-18.421600341796875,130.366455078125,2072755.625
724,17376,-197.93155740000006,29,24.0,583,17275,7266.966796875,0.0003,-21.22074317932129,134.107421875,1886720.5
728,17472,-191.98071986000002,29,24.0,586,17371,7282.7431640625,0.0003,-17.829635620117188,137.94993591308594,2575375.75
732,17568,-195.36648638999998,29,24.0,589,17467,7755.9765625,0.0003,-19.01995849609375,141.91297912597656,2619050.0
736,17664,-188.37690692,29,24.0,592,17563,7848.54833984375,0.0003,-18.891149520874023,145.98687744140625,2089597.25
740,17760,-186.40271855000003,29,24.0,595,17659,8146.09814453125,0.0003,-21.137598037719727,150.1895294189453,2170280.0
744,17856,-188.43610307000003,29,24.0,598,17755,8415.716796875,0.0003,-20.42612075805664,154.5814208984375,2225573.5
748,17952,-190.28442051000002,29,24.0,602,17851,8553.9453125,0.0003,-18.99641227722168,159.10333251953125,2292010.5
752,18048,-186.1800736,29,24.0,605,17947,8833.9423828125,0.0003,-22.29448890686035,163.7186279296875,2289501.0
756,18144,-187.92072050999997,29,24.0,608,18043,9131.1328125,0.0003,-21.90664291381836,168.4618682861328,2753995.5
760,18240,-188.45154194999998,29,24.0,611,18139,9236.0078125,0.0003,-22.409332275390625,173.33335876464844,3764081.0
764,18336,-191.79221648000004,29,24.0,614,18235,9588.7421875,0.0003,-21.244121551513672,178.3178253173828,3020065.0
768,18432,-187.09844170999997,29,24.0,617,18331,9801.5986328125,0.0003,-21.13878059387207,183.4228973388672,3718100.0
772,18528,-181.08881727999997,29,24.0,620,18427,9975.3583984375,0.0003,-19.86517333984375,188.7736358642578,3317590.25
776,18624,-183.89955353999997,29,24.0,623,18523,10272.8466796875,0.0003,-20.659658432006836,194.23175048828125,2418617.0
780,18720,-182.57977398,29,24.0,626,18619,10541.7900390625,0.0003,-22.246919631958008,199.77783203125,4379344.0
784,18816,-177.47983741,29,24.0,629,18715,11012.125,0.0003,-21.218402862548828,205.6317596435547,5329612.0
788,18912,-178.06878634999998,29,24.0,632,18811,11147.2880859375,0.0003,-19.332462310791016,211.66387939453125,4492247.0
792,19008,-178.86385995999998,29,24.0,635,18907,11310.8427734375,0.0003,-20.049049377441406,217.81207275390625,3802667.0
796,19104,-180.78903571000004,29,24.0,638,19003,11849.84375,0.0003,-23.041061401367188,224.2301483154297,4752952.0
800,19200,-186.07268614,29,24.0,641,19099,11954.818359375,0.0003,-20.961532592773438,230.71530151367188,4908189.5
804,19296,-185.32510083,29,24.0,644,19195,12312.8134765625,0.0003,-20.93239974975586,237.4806365966797,7494192.0
808,19392,-183.77669792999998,29,24.0,647,19291,12843.162109375,0.0003,-20.79806137084961,244.3301544189453,6314834.0
812,19488,-188.39465005999998,29,24.0,651,19387,12906.294921875,0.0003,-19.73597526550293,251.41436767578125,5262423.5
