#{"t_start": 1745855726.9573295, "env_id": "None"}
r,l,t
93.791732,24,777.658082
60.9408,24,778.434432
46.470141,24,779.196114
50.478386,24,779.975063
75.227387,24,780.788637
55.512,24,781.532274
54.1008,24,782.311293
69.163604,24,783.06831
116.915999,24,783.82779
66.331408,24,784.631879
65.194709,24,785.403665
66.558075,24,786.167436
52.715537,24,786.91031
55.1232,24,787.704823
122.320213,24,788.461365
66.624671,24,789.236271
64.4832,24,789.97599
58.1328,24,790.762983
64.6128,24,791.536444
72.03246,24,792.340047
94.131451,24,793.107977
86.616,24,793.912577
55.1232,24,794.702432
84.863915,24,795.470841
52.025222,24,796.235176
53.988922,24,797.023097
47.853452,24,797.813428
50.666052,24,798.586467
55.1232,24,799.327532
79.916956,24,800.10479
72.057335,24,800.889176
52.7328,24,801.691792
84.384,24,802.443139
73.75804,24,803.213933
56.728917,24,803.990438
68.1408,24,804.798482
55.775332,24,805.574756
55.1232,24,806.395491
77.172348,24,807.17965
40.877508,24,807.97043
59.105563,24,808.98068
128.531858,24,809.787658
127.253728,24,810.563952
69.1344,24,811.367466
106.718666,24,812.141041
117.012882,24,812.955469
121.90278,24,813.748496
66.189729,24,814.668523
58.1184,24,815.415029
88.391944,24,816.168683
62.380734,24,816.93606
80.765013,24,817.69798
66.528,24,818.450828
82.9584,24,819.219224
81.260924,24,820.007977
82.9584,24,820.781215
67.7808,24,821.547337
79.197683,24,822.315425
43.208417,24,823.107153
74.833875,24,823.906161
69.857498,24,824.652357
106.752161,24,825.390473
59.492127,24,826.158693
55.300848,24,826.951055
96.218005,24,827.720651
57.0096,24,828.4778
104.055772,24,829.252707
121.318908,24,830.018594
61.632,24,830.767089
177.948604,24,831.53554
144.069163,24,832.319867
130.211968,24,833.067618
68.2416,24,833.81329
67.14006,24,834.573066
55.4112,24,835.360826
45.799029,24,836.155305
29.392749,24,836.934933
137.398187,24,837.716402
56.7504,24,838.483304
59.8464,24,839.268564
91.221464,24,840.023753
66.373901,24,840.807487
56.573568,24,841.590038
55.245152,24,842.357061
57.312612,24,843.117176
63.117602,24,843.890009
29.894546,24,844.687864
177.99027,24,845.451407
71.505782,24,846.214194
55.3824,24,846.957031
-23.203364,24,847.74934
57.136386,24,848.541552
68.9472,24,849.321833
71.27532,24,850.070853
86.242378,24,850.852909
58.2768,24,851.625325
52.7328,24,852.404344
69.264,24,853.195015
107.131009,24,853.953035
59.97448,24,854.719173
93.91808,24,855.562257
71.244447,24,856.340475
122.265047,24,857.107103
87.834947,24,857.861264
78.710877,24,858.623031
64.981375,24,859.383439
154.301093,24,860.163909
57.949445,24,860.927825
59.0112,24,861.724578
56.180496,24,862.477723
108.218229,24,863.252177
86.616,24,863.999542
62.9856,24,864.769037
100.295166,24,865.538386
55.572569,24,866.315624
55.512,24,867.060719
110.724798,24,867.847945
82.503776,24,868.688155
77.035277,24,869.689583
78.643605,24,870.436071
90.908415,24,871.236464
56.2608,24,872.12155
55.4112,24,872.987702
60.502294,24,873.846791
78.847071,24,874.718132
49.309759,24,875.467052
188.688318,24,876.256821
43.021614,24,877.05572
56.7936,24,877.8237
68.905298,24,878.558797
59.976,24,879.35012
72.297629,24,880.124833
65.571922,24,880.899592
57.7728,24,881.693428
94.384268,24,882.470336
66.109497,24,883.235196
62.470587,24,883.987302
61.632,24,884.751513
24.681367,24,885.511042
68.2416,24,886.435651
92.509225,24,887.202331
115.745045,24,887.960953
117.080701,24,888.745277
51.951345,24,889.511996
80.582534,24,890.30879
66.1104,24,891.077471
56.2608,24,891.860022
52.782734,24,892.648358
77.639094,24,893.415751
106.523613,24,894.170236
75.611874,24,894.967806
45.166238,24,895.721112
129.734644,24,896.466382
54.565909,24,897.247402
