time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/critic_loss
780,18720,68.38477634,31,24.0,601,18619,-16.391550064086914,0.0003,-0.13237787783145905,0.14640715718269348,9.840391159057617
784,18816,69.23816766,31,24.0,604,18715,-18.69562530517578,0.0003,0.15030303597450256,0.14410658180713654,21.76357078552246
788,18912,69.61782753,31,24.0,607,18811,-13.974882125854492,0.0003,-0.4244982600212097,0.1425410956144333,21.102935791015625
792,19008,69.20013496,31,24.0,610,18907,-16.20688819885254,0.0003,0.12026764452457428,0.1413985937833786,24.015918731689453
796,19104,68.33059782999999,31,24.0,613,19003,-13.988170623779297,0.0003,0.2796396017074585,0.13980765640735626,14.724849700927734
800,19200,67.81114973,31,24.0,616,19099,-17.548282623291016,0.0003,-0.03826955705881119,0.13922053575515747,12.049358367919922
804,19296,67.25500099,31,24.0,619,19195,-13.945926666259766,0.0003,0.11197365075349808,0.1378074437379837,41.86748123168945
808,19392,67.3109722,31,24.0,622,19291,-13.796852111816406,0.0003,-0.21331354975700378,0.1374112069606781,10.69497013092041
812,19488,67.44268584999999,31,24.0,625,19387,-14.388203620910645,0.0003,-0.04374141991138458,0.13642345368862152,15.443790435791016
816,19584,66.96681092,31,24.0,629,19483,-13.94731330871582,0.0003,0.14063140749931335,0.13663887977600098,29.252758026123047
820,19680,67.71852331000002,31,24.0,632,19579,-14.562609672546387,0.0003,0.017956562340259552,0.13735753297805786,18.89019012451172
824,19776,67.56491350000002,31,24.0,635,19675,-12.0667724609375,0.0003,-0.17093747854232788,0.13685674965381622,9.145547866821289
828,19872,67.41845552000001,31,24.0,638,19771,-14.758931159973145,0.0003,0.2008555829524994,0.13647542893886566,13.476603507995605
832,19968,68.5370822,31,24.0,641,19867,-17.800003051757812,0.0003,0.06429359316825867,0.13652253150939941,12.123016357421875
